name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
southampton,2017-02-16,10.9,4.9,7.6,10.9,2.9,6.2,6.2,91.32,0.4,,8.33,,,,,16.2,240.8,1030.2,57.9,14,,,0,,2017-02-16T07:16:00,2017-02-16T17:24:08,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-17,10.9,5.7,7.6,10.9,3.2,6.4,6.2,91.11,0,,0,,,0,,12.1,228.1,1028.2,69,12.9,,,0,,2017-02-17T07:14:05,2017-02-17T17:25:54,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-18,11.2,4.3,7,11.2,2.7,5.4,5.7,91.75,0.2,,4.17,,,,,11.2,172.8,1025.1,35.7,6.7,,,0,,2017-02-18T07:12:09,2017-02-18T17:27:41,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-19,10.6,4.3,8,10.6,2.2,6.3,6.8,91.94,0.6,,12.5,,,,,19.2,252.2,1023.3,75.6,14.1,,,0,,2017-02-19T07:10:11,2017-02-19T17:29:27,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-20,13.5,9.2,10.9,13.5,7.2,10.4,9.8,93.05,0.2,,4.17,,,,50,24.7,268.8,1020.5,74.5,16.2,,,0,,2017-02-20T07:08:13,2017-02-20T17:31:13,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-21,12.1,9.8,10.6,12.1,7.1,10,9.3,91.35,0.65,,8.33,,,,52.7,29.9,255.7,1017.7,78.2,22.5,,,0,,2017-02-21T07:06:14,2017-02-21T17:32:59,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-22,11.7,9.8,10.6,11.7,6.4,10.5,9.2,90.71,0.6,,12.5,,,0,60,37,249.2,1010.7,79.8,16.7,,,0,,2017-02-22T07:04:13,2017-02-22T17:34:45,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-23,10.1,5,8.8,10.1,0.7,4.8,4.4,75.34,1.67,,12.5,,,,88.2,54.6,261.3,1001.5,54.6,22.9,,,0,,2017-02-23T07:02:12,2017-02-23T17:36:30,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-24,9.1,2.9,5.6,7,-0.9,2.5,0.8,72.13,0,,0,,,0,53.6,25.6,273.9,1017,36.9,26.6,,,0,,2017-02-24T07:00:09,2017-02-24T17:38:15,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-25,9.8,6,8.6,6.3,3.8,5.2,6.4,86.2,0.76,,4.17,,,,53.6,30.7,219.1,1014.3,76.7,17.6,,,0,,2017-02-25T06:58:06,2017-02-25T17:40:00,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-26,10.1,8.1,9.5,10.1,4.7,6.5,8.1,91.25,2.37,,12.5,,,,59.3,35.7,228.8,1006.8,76.6,17.1,,,0,,2017-02-26T06:56:02,2017-02-26T17:41:44,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-02-27,8,3.2,6.4,5.1,-0.8,2.5,4.5,88.09,20.14,,12.5,,,1,72.4,33.1,220.3,990.5,62.9,20.9,,,0,,2017-02-27T06:53:57,2017-02-27T17:43:28,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
